"id","origin","key","name","label","update_date"
"192","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Abrangência Nacional Homogênea","2022-10-11 23:30:13.533"
"193","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Atendimento 24/7","2022-10-11 23:30:14.454"
"210","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Ações Conjuntas","2022-10-11 23:30:14.167"
"6","organizationFields","label","Etiqueta","Hot lead","2022-10-11 23:30:13.521"
"5","organizationFields","label","Etiqueta","Customer","2022-10-11 23:30:13.52"
"191","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","100% Digital","2022-10-11 23:30:13.531"
"310","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Atendimento Ilimitado","2022-10-11 23:30:15.029"
"194","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Engajamento","2022-10-11 23:30:15.148"
"195","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Equipe de Saúde Assistente","2022-10-11 23:30:15.288"
"196","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Equipe de Saúde Própria","2022-10-11 23:30:15.302"
"197","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Fácilidade de Acesso","2022-10-11 23:30:15.332"
"211","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Horário Expandido","2022-10-11 23:30:15.576"
"217","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Indicadores de Saúde Populacional","2022-10-11 23:30:15.577"
"198","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Marca Empregadora","2022-10-11 23:30:15.734"
"220","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Nutrição","2022-10-11 23:30:15.787"
"199","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Personalizado","2022-10-11 23:30:16.006"
"200","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Preditivo","2022-10-11 23:30:16.115"
"201","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Preventivo","2022-10-11 23:30:16.149"
"203","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Prontuário Eletrônico","2022-10-11 23:30:16.628"
"202","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Proativo","2022-10-11 23:30:16.486"
"395","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Rapidez no Atendimento","2022-10-11 23:30:16.768"
"204","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Redução da Sinistralidade","2022-10-11 23:30:16.773"
"205","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Redução do Absenteísmo","2022-10-11 23:30:16.776"
"206","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Retenção de Talentos","2022-10-11 23:30:17.052"
"207","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Saúde da Família","2022-10-11 23:30:17.052"
"405","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Saúde Integral","2022-10-11 23:30:17.21"
"209","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Sem Burocracia","2022-10-11 23:30:17.484"
"208","organizationFields","826ec6bb163c027c16df421ba9dce42d9b492421","Valor Percebido","Saúde Mental","2022-10-11 23:30:17.354"
"178","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Não conhece concorrentes diretos","2022-10-11 23:30:17.624"
"157","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Alice","2022-10-11 23:30:17.625"
"158","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Amparo","2022-10-11 23:30:17.788"
"309","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Auster","2022-10-11 23:30:17.912"
"221","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Aon","2022-10-11 23:30:17.912"
"300","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Better Fly","2022-10-11 23:30:18.098"
"394","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Cartão de Todos","2022-10-11 23:30:18.114"
"214","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Ciclic","2022-10-11 23:30:18.348"
"159","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Clude","2022-10-11 23:30:18.486"
"227","organizationFields","d9c34de9a8687a960896506efe2a66bf5d040048","Concorrentes Citados","Conexa","2022-10-11 23:30:18.486"
